,Date,PM2.5 AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
196,7/15/20,70,Pala Airpad,06-073-1201,AQS,74,40,59.6,7/15/19,7/15/00
197,7/16/20,60,Pala Airpad,06-073-1201,AQS,73,39,58.4,7/16/19,7/16/01
198,7/17/20,53,Pala Airpad,06-073-1201,AQS,73,34,55.4,7/17/03,7/17/14
199,7/18/20,51,Pala Airpad,06-073-1201,AQS,64,24,51.8,7/18/19,7/18/14
200,7/19/20,52,Pala Airpad,06-073-1201,AQS,65,28,50.6,7/19/00,7/19/14
201,7/20/20,54,Pala Airpad,06-073-1201,AQS,70,25,48,7/20/00,7/20/15
202,7/21/20,62,Pala Airpad,06-073-1201,AQS,75,10,42.6,7/21/00,7/21/15
203,7/22/20,63,Pala Airpad,06-073-1201,AQS,74,18,46.6,7/22/16,7/22/15
204,7/23/20,61,Pala Airpad,06-073-1201,AQS,68,25,49.4,7/23/16,7/23/15
205,7/24/20,55,Pala Airpad,06-073-1201,AQS,68,38,53,7/24/06,7/24/13
206,7/25/20,42,Pala Airpad,06-073-1201,AQS,79,30,54.4,7/25/08,7/25/13
207,7/26/20,52,Pala Airpad,06-073-1201,AQS,73,30,54.4,7/26/08,7/26/17
208,7/27/20,62,Pala Airpad,06-073-1201,AQS,71,40,54,7/27/18,7/27/15
209,7/28/20,68,Pala Airpad,06-073-1201,AQS,71,28,56.4,7/28/08,7/28/06
210,7/29/20,65,Pala Airpad,06-073-1201,AQS,69,19,60.8,7/29/19,7/29/06
211,7/30/20,68,Pala Airpad,06-073-1201,AQS,77,17,60.8,7/30/19,7/30/06
212,7/31/20,71,Pala Airpad,06-073-1201,AQS,76,21,58.6,7/31/19,7/31/06
213,8/1/20,72,Pala Airpad,06-073-1201,AQS,78,32,55.8,8/1/19,8/1/06
214,8/2/20,77,Pala Airpad,06-073-1201,AQS,72,35,54,8/2/19,8/2/06
215,8/3/20,73,Pala Airpad,06-073-1201,AQS,69,33,55.4,8/3/19,8/3/03
216,8/4/20,72,Pala Airpad,06-073-1201,AQS,62,32,55.4,8/4/02,8/4/06
217,8/5/20,69,Pala Airpad,06-073-1201,AQS,65,34,56.6,8/5/08,8/5/14
218,8/6/20,64,Pala Airpad,06-073-1201,AQS,66,35,59.4,8/6/18,8/6/07
219,8/7/20,59,Pala Airpad,06-073-1201,AQS,75,34,58.4,8/7/19,8/7/09
220,8/8/20,58,Pala Airpad,06-073-1201,AQS,71,36,62,8/8/19,8/8/13
221,8/9/20,62,Pala Airpad,06-073-1201,AQS,73,44,62,8/9/02,8/9/10
222,8/10/20,62,Pala Airpad,06-073-1201,AQS,73,46,61,8/10/18,8/10/08
223,8/11/20,61,Pala Airpad,06-073-1201,AQS,71,40,54.6,8/11/02,8/11/15
224,8/12/20,63,Pala Airpad,06-073-1201,AQS,76,40,51.6,8/12/02,8/12/15
225,8/13/20,71,Pala Airpad,06-073-1201,AQS,79,41,53.2,8/13/02,8/13/18
226,8/14/20,70,Donovan,06-073-1014,AQS,82,32,58.4,8/14/02,8/14/14
227,8/15/20,65,Donovan,06-073-1014,AQS,82,30,54.8,8/15/02,8/15/14
228,8/16/20,75,Pala Airpad,06-073-1201,AQS,101,38,56.8,8/16/08,8/16/14
229,8/17/20,72,Pala Airpad,06-073-1201,AQS,74,33,60.4,8/17/02,8/17/14
230,8/18/20,76,Pala Airpad,06-073-1201,AQS,77,44,61,8/18/09,8/18/05
231,8/19/20,75,Pala Airpad,06-073-1201,AQS,74,35,56.4,8/19/09,8/19/05
232,8/20/20,74,Pala Airpad,06-073-1201,AQS,74,34,55.6,8/20/18,8/20/08
233,8/21/20,82,Pala Airpad,06-073-1201,AQS,84,36,64.8,8/21/18,8/21/04
234,8/22/20,88,Pala Airpad,06-073-1201,AQS,89,28,67.2,8/22/18,8/22/04
235,8/23/20,77,Pala Airpad,06-073-1201,AQS,97,23,62,8/23/13,8/23/04
236,8/24/20,60,Pala Airpad,06-073-1201,AQS,93,21,69.6,8/24/18,8/24/04
237,8/25/20,74,Pala Airpad,06-073-1201,AQS,110,29,73.4,8/25/18,8/25/14
238,8/26/20,79,Pala Airpad,06-073-1201,AQS,142,37,82,8/26/18,8/26/04
239,8/27/20,63,Pala Airpad,06-073-1201,AQS,91,35,65.8,8/27/18,8/27/04
240,8/28/20,68,Pala Airpad,06-073-1201,AQS,83,43,65,8/28/18,8/28/07
241,8/29/20,90,Pala Airpad,06-073-1201,AQS,80,37,69.2,8/29/17,8/29/00
242,8/30/20,59,Pala Airpad,06-073-1201,AQS,88,34,64.4,8/30/17,8/30/00
243,8/31/20,58,Pala Airpad,06-073-1201,AQS,76,31,64.6,8/31/17,8/31/00
244,9/1/20,59,Pala Airpad,06-073-1201,AQS,77,32,66.8,9/1/18,9/1/13
245,9/2/20,60,Pala Airpad,06-073-1201,AQS,74,28,64.6,9/2/18,9/2/00
246,9/3/20,65,Pala Airpad,06-073-1201,AQS,72,25,54,9/3/10,9/3/00
247,9/4/20,73,Donovan,06-073-1014,AQS,64,33,56.6,9/4/17,9/4/00
248,9/5/20,94,Donovan,06-073-1014,AQS,76,46,58.2,9/5/02,9/5/00
